id,Problem_tag_1,Problem_tag_2,Problem_tag_3,Problem_tag_4,Solved,Problem Rating
2097C,chinese remainder theorem,geometry,implementation,math,x726,2400
2097B,combinatorics,dfs and similar,dp,dsu,x1390,2300
2097A,2-sat,brute force,math,sortings,x6508,1400
2096H,bitmasks,combinatorics,dp,fft,x121,3200
2096G,bitmasks,constructive algorithms,interactive,,x279,3200
2096F,data structures,implementation,two pointers,,x340,3100
2096E,greedy,implementation,sortings,,x1687,2400
2096D,combinatorics,constructive algorithms,math,,x4526,2000
2096C,dp,implementation,,,x6411,1700
2096B,greedy,math,sortings,,x14327,1100
2096A,constructive algorithms,greedy,,,x18603,800
2095J,*special problem,,,,x410,
2095I,*special problem,expression parsing,number theory,,x573,
2095H,*special problem,fft,math,,x692,
2095G,*special problem,geometry,,,x855,
2095F,*special problem,math,,,x666,
2095E,*special problem,number theory,,,x686,
2095D,*special problem,geometry,,,x4702,
2095C,*special problem,binary search,brute force,,x2952,
2095B,*special problem,games,interactive,,x5051,
2095A,*special problem,string suffix structures,,,x12089,
2094H,binary search,brute force,math,number theory,x2877,1900
2094G,data structures,implementation,math,,x5937,1700
2094F,constructive algorithms,,,,x8716,1600
2094E,bitmasks,,,,x14895,1200
2094D,greedy,strings,two pointers,,x18745,1100
2094C,math,,,,x24485,900
2094B,brute force,constructive algorithms,,,x27043,800
2094A,strings,,,,x41301,800
2093G,binary search,bitmasks,data structures,dfs and similar,x2800,1900
2093F,bitmasks,brute force,greedy,,x4993,1800
2093E,binary search,brute force,greedy,,x10934,1500
2093D,bitmasks,implementation,,,x10529,1400
2093C,math,number theory,,,x25867,1000
2093B,greedy,math,,,x26268,900
2093A,math,,,,x35129,800
2092F,brute force,constructive algorithms,greedy,math,x324,2900
2092E,combinatorics,constructive algorithms,graphs,math,x3002,2100
2092D,brute force,constructive algorithms,greedy,implementation,x5699,1800
2092C,constructive algorithms,greedy,math,,x19171,1200
2092B,brute force,constructive algorithms,implementation,math,x21085,1000
2092A,greedy,math,number theory,sortings,x25675,800
2091G,brute force,constructive algorithms,data structures,dp,x1255,2300
2091F,binary search,brute force,dp,,x5188,1800
2091E,brute force,math,number theory,two pointers,x16627,1300
2091D,binary search,greedy,math,,x19942,1200
2091C,constructive algorithms,greedy,,,x24773,1000
2091B,dp,greedy,sortings,,x29104,800
2091A,greedy,strings,,,x35026,800
2090C,data structures,greedy,implementation,sortings,x5194,1700
2090B,brute force,dp,implementation,,x13837,1000
2090A,implementation,math,,,x18376,800
2089E,,,,,x92,3500
2089D,constructive algorithms,,,,x131,3200
2089C2,dp,math,probabilities,,x181,3100
2089C1,dp,games,math,probabilities,x1052,2200
2089B2,binary search,data structures,dp,flows,x1007,2300
2089B1,binary search,data structures,flows,greedy,x2434,1900
2089A,constructive algorithms,number theory,,,x5813,1700
2087I,*special problem,*special problem,,,x15,
2087H,*special problem,*special problem,,,x18,
2087G,*special problem,*special problem,greedy,greedy,x78,
2087F,*special problem,*special problem,dp,,x56,
2087E,*special problem,*special problem,dp,dp,x142,
2087D,*special problem,*special problem,interactive,,x244,
2087C,*special problem,greedy,,,x452,
2087B,*special problem,,,,,
2087A,*special problem,,,,x979,
2086F,brute force,constructive algorithms,interactive,,x103,3000
2086E,bitmasks,brute force,constructive algorithms,dfs and similar,x1271,2400
2086D,brute force,combinatorics,dp,math,x6637,1700
2086C,dfs and similar,dp,dsu,graphs,x13476,1300
2086B,binary search,brute force,greedy,,x16731,1100
2086A,math,,,,x29468,800
2085F2,data structures,greedy,,,x311,2900
2085F1,data structures,greedy,,,x551,2600
2085E,constructive algorithms,math,number theory,,x2586,2200
2085D,data structures,graph matchings,greedy,,x4265,2000
2085C,bitmasks,constructive algorithms,dp,greedy,x11066,1600
2085B,constructive algorithms,implementation,,,x14718,1200
2085A,constructive algorithms,implementation,,,x20599,900
2084H,dp,greedy,,,x67,3500
2084G2,data structures,dp,,,x69,3500
2084G1,dp,games,,,x515,2600
2084F,constructive algorithms,data structures,greedy,,x331,2900
2084E,binary search,combinatorics,dp,implementation,x1401,2400
2084D,binary search,brute force,constructive algorithms,greedy,x7037,1600
2084C,constructive algorithms,data structures,greedy,implementation,x9596,1400
2084B,greedy,math,number theory,,x14019,1100
2084A,constructive algorithms,math,,,x15803,800
2082B,brute force,greedy,,,x6589,1600
2082A,constructive algorithms,greedy,,,x9987,800
2081G2,math,,,,x31,3400
2081G1,math,number theory,,,x59,3100
2081F,constructive algorithms,math,,,x86,3300
2081E,combinatorics,dp,implementation,,x51,3300
2081D,constructive algorithms,dsu,graphs,greedy,x819,2600
2081C,bitmasks,constructive algorithms,greedy,implementation,x260,2700
2081B,greedy,,,,x786,2500
2081A,bitmasks,dp,math,probabilities,x3022,1800
2080D,*special problem,binary search,,,x39,3400
2080C,*special problem,,,,x125,2300
2080B,*special problem,,,,x311,1700
2080A,*special problem,constructive algorithms,graphs,,x31,3200
2079D,*special problem,sortings,,,x443,1800
2079C,*special problem,,,,x165,2300
2079B,*special problem,data structures,dp,greedy,x127,2600
2079A,*special problem,data structures,dp,games,x20,3300
2078D,dp,greedy,implementation,,x5173,1800
2078B,constructive algorithms,graphs,greedy,implementation,x16362,1100
2078A,math,,,,x21348,800
2077G,bitmasks,chinese remainder theorem,dfs and similar,graphs,x76,3500
2077F,bitmasks,constructive algorithms,dp,,x196,3300
2077E,combinatorics,constructive algorithms,data structures,divide and conquer,x469,2700
2077D,brute force,data structures,greedy,implementation,x264,3100
2077C,combinatorics,data structures,dp,fft,x1603,2300
2077B,bitmasks,constructive algorithms,implementation,interactive,x2857,1900
2077A,constructive algorithms,greedy,math,sortings,x12077,1500
2075F,binary search,brute force,data structures,implementation,x409,3000
2075E,bitmasks,combinatorics,dp,implementation,x867,2500
2075D,bitmasks,brute force,dp,graphs,x4597,2000
2075C,binary search,combinatorics,math,,x11962,1500
2075B,constructive algorithms,greedy,,,x16283,1300
2075A,greedy,math,,,x25508,800
2074G,dp,geometry,,,x1715,2100
2074F,bitmasks,divide and conquer,greedy,implementation,x2083,2000
2074E,geometry,interactive,probabilities,,x5458,1600
2074D,brute force,data structures,geometry,implementation,x10361,1400
2074C,bitmasks,brute force,geometry,greedy,x19465,1100
2074B,geometry,greedy,math,,x31380,800
2074A,geometry,implementation,,,x38174,800
2073M,,,,,x60,3300
2073L,,,,,x1301,1300
2073K,,,,,x181,2900
2073J,,,,,x820,2000
2073I,,,,,x93,3100
2073H,interactive,,,,x259,2700
2073G,,,,,x661,2200
2073F,,,,,x44,3500
2073E,interactive,,,,x60,3300
2073D,,,,,x400,2400
2073C,,,,,x248,2700
2073B,,,,,x23,3500
2073A,,,,,x911,1900
2072G,binary search,brute force,combinatorics,divide and conquer,x1820,2200
2072F,2-sat,bitmasks,combinatorics,constructive algorithms,x7071,1700
2072E,binary search,brute force,constructive algorithms,dp,x10509,1500
2072D,brute force,greedy,implementation,,x15588,1300
2072C,bitmasks,constructive algorithms,greedy,,x17229,1200
2072B,combinatorics,constructive algorithms,strings,,x27754,900
2072A,greedy,implementation,math,,x37209,800
2071F,binary search,data structures,,,x219,2700
2071E,combinatorics,dp,probabilities,trees,x425,2600
2071D2,bitmasks,brute force,constructive algorithms,data structures,x841,2500
2071D1,bitmasks,brute force,dp,implementation,x5567,1800
2071C,constructive algorithms,data structures,dfs and similar,dp,x8051,1700
2071B,brute force,constructive algorithms,greedy,math,x18531,1100
2071A,math,number theory,,,x25553,800
2070F,bitmasks,divide and conquer,dp,fft,x278,3000
2070E,constructive algorithms,data structures,divide and conquer,games,x1465,2200
2070D,dfs and similar,dp,trees,,x8790,1600
2070C,binary search,greedy,,,x11605,1500
2070B,brute force,implementation,math,,x17797,1100
2070A,brute force,math,,,x24404,800
2069F,data structures,dfs and similar,divide and conquer,dsu,x642,2800
2069E,constructive algorithms,greedy,sortings,strings,x1590,2300
2069D,binary search,greedy,hashing,strings,,1800
2055A,constructive algorithms,games,greedy,math,x31402,800
2053I2,data structures,dp,graphs,greedy,x52,3500
2053I1,data structures,dp,greedy,,x460,2800
2053H,constructive algorithms,implementation,,,x55,3500
2053G,binary search,brute force,greedy,hashing,x202,3400
2053F,brute force,data structures,dp,greedy,x864,2600
2053E,dfs and similar,dp,games,graphs,x3994,1900
2053D,binary search,data structures,greedy,math,x6994,1700
2053C,bitmasks,divide and conquer,dp,math,x11047,1500
2053B,binary search,brute force,data structures,greedy,x15572,1200
2053A,dp,geometry,greedy,math,x20288,800
2052M,dp,graphs,math,trees,x320,2700
2052L,,,,,x114,2900
2052K,,,,,x84,2800
2052J,binary search,greedy,sortings,,x1203,2000
2052I,graphs,shortest paths,,,x109,2800
2052H,interactive,,,,x47,3500
2052G,data structures,geometry,implementation,,x166,2800
2052F,constructive algorithms,dp,graphs,,x2827,1700
2052E,brute force,expression parsing,strings,,x1220,1900
2052D,brute force,graphs,,,x922,2100
2052C,constructive algorithms,math,,,x32,3500
2052B,,,,,x364,2400
2052A,constructive algorithms,,,,x3277,1600
2051G,bitmasks,dp,dsu,graphs,x2005,2100
2051F,brute force,greedy,implementation,math,x3485,2000
2051E,binary search,brute force,data structures,greedy,x10243,1600
2051D,binary search,sortings,two pointers,,x20663,1200
2051C,constructive algorithms,implementation,,,x24906,1000
2051B,binary search,math,,,x34735,800
2051A,greedy,,,,x32461,800
2050G,dfs and similar,dp,trees,,x4558,1900
2050F,data structures,divide and conquer,math,number theory,x8138,1700
2050E,dp,implementation,strings,,x12415,1500
2050D,brute force,greedy,math,strings,x17050,1300
2050C,brute force,dp,math,,x22003,1200
2050B,brute force,greedy,math,,x24714,1100
2050A,implementation,,,,x34055,800
2049F,bitmasks,brute force,data structures,dsu,x500,2700
2049E,binary search,bitmasks,brute force,constructive algorithms,x1402,2400
2049D,brute force,dp,,,x5249,1900
2049C,brute force,constructive algorithms,greedy,implementation,x12189,1500
2049B,brute force,constructive algorithms,graph matchings,implementation,x17230,1300
2049A,greedy,implementation,,,x22911,800
2048I2,bitmasks,fft,math,,x32,3500
2048I1,constructive algorithms,,,,x74,3500
2048H,data structures,dp,,,x179,3100
2048G,brute force,combinatorics,dp,math,x560,2800
2048F,brute force,data structures,divide and conquer,dp,x1140,2500
2048E,constructive algorithms,graphs,greedy,,x2999,2000
2048D,binary search,brute force,data structures,greedy,x7376,1600
2048C,bitmasks,brute force,greedy,implementation,x13806,1200
2048B,constructive algorithms,greedy,,,x18973,900
2048A,brute force,greedy,implementation,math,x21530,800
2047B,brute force,combinatorics,greedy,strings,x17022,900
2047A,implementation,math,,,x16762,800
2046F2,constructive algorithms,data structures,greedy,implementation,x70,3500
2046F1,constructive algorithms,data structures,greedy,,x85,3300
2.05E+05,greedy,implementation,,,x58,3500
2.05E+04,constructive algorithms,greedy,,,x174,2900
2046D,flows,graphs,,,x491,3100
2046C,binary search,data structures,greedy,sortings,x2060,2100
2046B,binary search,data structures,greedy,sortings,x9360,1600
2046A,greedy,sortings,,,x15159,1200
2045M,brute force,dfs and similar,graphs,implementation,x1703,1800
2045L,constructive algorithms,,,,x116,3000
2045K,,,,,x84,2900
2045J,bitmasks,data structures,,,x268,2600
2045I,data structures,,,,x1003,2100
2045H,dp,sortings,string suffix structures,strings,x620,2200
2045G,graphs,math,shortest paths,,x726,2200
2045F,games,math,,,x110,3000
2045E,combinatorics,data structures,,,x218,2700
2045D,,,,,x36,3500
2045C,greedy,strings,,,x5711,1400
2045B,math,number theory,,,x1283,2000
2045A,brute force,greedy,,,x2000,1700
2044H,constructive algorithms,data structures,dp,implementation,x2103,2100
2044G2,dfs and similar,dp,dsu,graphs,x3042,1900
2044G1,dfs and similar,graph matchings,graphs,implementation,x6035,1700
2044F,binary search,brute force,data structures,math,x4864,1900
2044E,binary search,greedy,implementation,math,x15793,1300
2044D,constructive algorithms,greedy,math,,x21612,1100
2044C,greedy,math,,,x40162,800
2044B,implementation,strings,,,x44784,800
2044A,brute force,math,,,x50156,800
2043G,brute force,data structures,implementation,,x259,3000
2043F,bitmasks,brute force,combinatorics,dp,x794,2700
2043E,bitmasks,brute force,data structures,dfs and similar,x1648,2300
2043D,brute force,flows,math,number theory,x6622,1800
2043C,binary search,brute force,data structures,dp,x9776,1600
2043B,math,number theory,,,x19762,1100
2043A,brute force,math,,,x25376,800
2042F,data structures,dp,implementation,matrices,x761,2600
2042E,binary search,brute force,data structures,dfs and similar,x447,2900
2042D,data structures,implementation,sortings,two pointers,x4263,1900
2042C,greedy,,,,x7719,1800
2042B,games,greedy,,,x17752,900
2042A,greedy,sortings,,,x19646,800
2041N,,,,,,3300
2041M,binary search,data structures,greedy,two pointers,x1053,2000
2041L,,,,,x53,2900
2041K,binary search,brute force,dfs and similar,graphs,x90,3100
2041J,data structures,divide and conquer,dp,dsu,x189,2700
2041I,binary search,data structures,hashing,implementation,x528,2300
2041H,combinatorics,dp,math,,x774,2300
2041G,,,,,x44,3100
2041F,brute force,dfs and similar,number theory,,x383,2400
2041E,constructive algorithms,math,,,x8111,1200
2041D,brute force,dfs and similar,graphs,shortest paths,x2867,1700
2041C,bitmasks,dfs and similar,dp,,x1481,2000
2041B,binary search,brute force,math,,x5989,1200
2041A,implementation,sortings,,,x9562,1300
2040F,combinatorics,dp,math,number theory,x391,2700
2040E,combinatorics,dfs and similar,dp,graphs,x2265,2100
2040D,brute force,constructive algorithms,dfs and similar,greedy,x5090,1900
2040C,bitmasks,combinatorics,constructive algorithms,greedy,x9532,1600
2040B,constructive algorithms,greedy,math,,x21874,1000
2040A,games,math,,,x23187,800
2039H2,constructive algorithms,constructive algorithms,constructive algorithms,implementation,x65,3500
2039H1,constructive algorithms,implementation,sortings,,x77,3500
2039G,math,number theory,,,x60,3500
2039F2,dp,number theory,,,x229,3200
2039F1,combinatorics,dp,math,number theory,x417,2800
2039E,combinatorics,dp,implementation,math,x2082,2200
2039D,constructive algorithms,greedy,math,number theory,x6059,1700
2039C2,bitmasks,brute force,math,number theory,x4467,1800
2039C1,bitmasks,brute force,math,number theory,x12039,1200
2039B,constructive algorithms,greedy,implementation,strings,x15364,1000
2039A,constructive algorithms,number theory,,,x17065,800
2038N,implementation,,,,x10321,800
2038M,dp,implementation,,,x276,2800
2038L,brute force,dp,greedy,math,x6754,1400
2038K,brute force,dp,greedy,math,x1489,2100
2038J,greedy,implementation,,,x7918,800
2038I,binary search,data structures,hashing,string suffix structures,x638,2500
2038H,flows,,,,x141,3000
2038G,constructive algorithms,implementation,interactive,,x2464,1900
2038F,combinatorics,data structures,fft,math,x413,2500
2038E,data structures,greedy,math,,x130,2900
2038D,binary search,bitmasks,data structures,dp,x707,2400
2038C,data structures,geometry,greedy,sortings,x5774,1400
2038B,binary search,brute force,greedy,math,x1591,2100
2038A,games,greedy,,,x4555,1400
2037G,bitmasks,combinatorics,data structures,dp,x3125,2000
2037F,binary search,data structures,math,sortings,x2554,2100
2037E,dp,greedy,interactive,two pointers,x6481,1600
2037D,data structures,greedy,two pointers,,x13217,1300
2037C,constructive algorithms,greedy,math,number theory,x22972,1000
2037B,brute force,implementation,,,x24039,800
2037A,implementation,,,,x32570,800
2036G,binary search,constructive algorithms,divide and conquer,interactive,x1453,2200
2036F,bitmasks,dp,number theory,two pointers,x4423,1900
2036E,binary search,constructive algorithms,data structures,greedy,x8479,1600
2036D,brute force,implementation,matrices,,x14518,1300
2036C,brute force,implementation,,,x20464,1100
2036B,greedy,sortings,,,x27652,800
2036A,implementation,,,,x37589,800
2035H,constructive algorithms,,,,x76,3500
2035G2,divide and conquer,dp,,,x92,3500
2035G1,dp,trees,,,x155,3300
2035F,binary search,brute force,dfs and similar,dp,x990,2500
2035E,binary search,brute force,constructive algorithms,greedy,x1808,2300
2035D,binary search,data structures,divide and conquer,greedy,x5308,1800
2035C,bitmasks,constructive algorithms,math,,x10328,1400
2035B,constructive algorithms,greedy,math,number theory,x18772,900
2035A,implementation,math,,,x17134,800
2034H,brute force,dfs and similar,dp,number theory,x125,3300
2034G2,greedy,implementation,,,x56,3500
2034G1,constructive algorithms,greedy,implementation,sortings,x55,3500
2034F2,combinatorics,dp,math,sortings,x472,2800
2034F1,combinatorics,dp,math,sortings,x741,2500
2034E,combinatorics,constructive algorithms,greedy,hashing,x1772,2200
2034D,constructive algorithms,greedy,implementation,sortings,x5744,1600
2034C,constructive algorithms,dfs and similar,graphs,implementation,x7928,1400
2034B,data structures,greedy,implementation,two pointers,x14052,1000
2034A,brute force,chinese remainder theorem,math,number theory,x17089,800
2033G,data structures,dfs and similar,dp,greedy,x1616,2200
2033F,brute force,math,number theory,,x6344,1800
2033E,brute force,data structures,dfs and similar,dsu,x12580,1400
2033D,data structures,dp,dsu,greedy,x16124,1300
2033C,dp,greedy,two pointers,,x15846,1400
2033B,brute force,constructive algorithms,greedy,,x26700,900
2033A,constructive algorithms,implementation,math,,x38223,800
2032F,combinatorics,dp,games,math,x419,2700
2032E,constructive algorithms,data structures,greedy,implementation,x1240,2400
2032D,constructive algorithms,data structures,graphs,greedy,x5529,1800
2032C,binary search,math,sortings,two pointers,x14520,1400
2032B,constructive algorithms,greedy,implementation,math,x19265,1100
2032A,greedy,implementation,math,number theory,x23486,800
2031F,binary search,constructive algorithms,interactive,probabilities,x392,2800
2031E,data structures,dfs and similar,dp,greedy,x2384,2100
2031D,binary search,data structures,dfs and similar,dp,x8196,1700
2031C,constructive algorithms,math,number theory,,x14139,1300
2031B,brute force,greedy,sortings,,x18936,900
2031A,constructive algorithms,dp,greedy,math,x19646,800
2030G2,combinatorics,math,,,x151,3100
2030G1,combinatorics,greedy,math,,x213,2900
2030F,binary search,data structures,dp,greedy,x975,2400
2030E,combinatorics,data structures,dp,greedy,,2200
2030D,data structures,implementation,sortings,,x7594,1700
2030C,brute force,games,greedy,,x18550,1100
2030B,combinatorics,constructive algorithms,games,math,x22474,800
2030A,constructive algorithms,greedy,math,sortings,x26361,800
2029I,flows,graphs,greedy,,x99,3400
2029H,bitmasks,brute force,combinatorics,dp,x84,3500
2029G,data structures,dp,,,x208,3000
2029F,constructive algorithms,graphs,greedy,,x784,2500
2029E,brute force,constructive algorithms,math,number theory,x3132,2100
2029D,constructive algorithms,data structures,dfs and similar,dsu,x3430,1900
2029C,binary search,data structures,dp,greedy,x6533,1700
2029B,constructive algorithms,games,strings,,x10697,1100
2029A,greedy,math,,,x13257,800
2028F,bitmasks,brute force,dp,implementation,x474,2700
2028E,combinatorics,dfs and similar,dp,games,x1654,2300
2028D,constructive algorithms,data structures,dp,graphs,x3276,2000
2028C,binary search,dp,greedy,two pointers,x8632,1600
2028B,binary search,implementation,math,,x12013,1400
2028A,brute force,implementation,math,,x18360,900
2.03E+05,bitmasks,dp,math,,x80,3100
2.03E+04,bitmasks,brute force,games,math,x201,2800
2027D2,binary search,data structures,dp,greedy,x1662,2200
2027D1,binary search,dp,graphs,greedy,x6055,1700
2027C,brute force,data structures,dfs and similar,dp,x11974,1500
2027B,brute force,greedy,,,x16444,1100
2027A,geometry,implementation,math,,x21117,800
2026F,data structures,dfs and similar,divide and conquer,dp,x301,2700
2026E,bitmasks,dfs and similar,flows,graph matchings,x1553,2500
2026D,binary search,data structures,dp,implementation,x5099,1900
2026C,binary search,brute force,constructive algorithms,data structures,x11269,1500
2026B,binary search,brute force,constructive algorithms,greedy,x14987,1300
2026A,constructive algorithms,geometry,greedy,math,x18878,900
2025G,data structures,flows,,,x197,3000
2025F,constructive algorithms,dfs and similar,dp,graphs,x924,2700
2025E,combinatorics,dp,fft,greedy,x2089,2200
2025D,brute force,data structures,dp,implementation,x7033,1800
2025C,binary search,brute force,greedy,implementation,x17246,1300
2025B,combinatorics,dp,math,,x18448,1100
2025A,binary search,greedy,strings,two pointers,x26690,800
2024B,binary search,constructive algorithms,sortings,,x15784,1100
2024A,greedy,math,,,x21772,800
2023F,data structures,greedy,math,matrices,x94,3500
2023E,dp,greedy,trees,,x124,3300
2023D,brute force,dp,greedy,math,x524,2900
2023C,constructive algorithms,dfs and similar,graphs,greedy,x1185,2400
2023B,binary search,dp,graphs,shortest paths,x6189,1700
2023A,constructive algorithms,greedy,math,sortings,x14961,1300
2.02E+05,binary search,combinatorics,data structures,dsu,x544,2600
2.02E+04,2-sat,binary search,combinatorics,constructive algorithms,x599,2500
2022D2,constructive algorithms,dp,interactive,,x694,2700
2022D1,binary search,brute force,constructive algorithms,implementation,x3458,1900
2022C,dp,implementation,,,x5165,1800
2022B,binary search,greedy,math,,x12959,1300
2022A,constructive algorithms,greedy,implementation,math,x16099,800
2.02E+06,data structures,dfs and similar,dp,dsu,x565,2800
2.02E+05,data structures,dp,dsu,graphs,x1013,2500
2.02E+04,brute force,data structures,dfs and similar,dp,x1725,2300
2021D,dp,greedy,implementation,,x843,2500
2021C2,constructive algorithms,data structures,greedy,implementation,x4137,1900
2021C1,constructive algorithms,greedy,,,x13162,1300
2021B,brute force,greedy,math,number theory,x17177,1200
2021A,data structures,greedy,math,sortings,x20428,800
2020F,dp,math,number theory,,x236,2900
2020E,bitmasks,dp,math,probabilities,x3469,2000
2020D,brute force,dp,dsu,graphs,x6635,1800
2020C,bitmasks,hashing,implementation,math,x16736,1400
